name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Real face,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning,Traits,PlayStyles,PlayStyles +,Number of playstyles,
V. Gyökeres ST LW CF,25,82,87,"Sporting CP
2023 ~ 2028",241651,"187cm / 6'2""",90kg / 198lbs,Right,84,ST,5,"Jul 13, 2023",N/A,€45M,€22K,€93.4M,371,61,85,78,73,74,342,81,70,59,52,80,403,85,88,70,79,81,434,85,94,93,90,72,346,82,28,83,74,79,79,84,34,34,16,56,10,13,11,14,8,2036,438,4,3,High,Medium,1,Normal (185+),Yes,87,81,67,79,35,89,,Press Proven,,1,
B. Šeško ST,20,78+1,87+1,"RB Leipzig
2023 ~ 2028",260592,"195cm / 6'5""",85kg / 187lbs,Right,80,ST,9,"Jul 1, 2023",N/A,€31M,€41K,€58.9M,358,55,81+2,79+2,71+2,72+1,322,76+1,59,56,53+1,78+1,379,79,86,74,71+1,69,399,79,92+1,74,83,71,298,62,35+3,79+2,61,61,75+1,122,45+3,42,35,43,10,8,5,14,6,1921,420,4,3,Medium,Medium,1,Lean (185+),No,83,77,62,76,45,77,,Power Shot Technical Flair,,3,
C. Palmer RM RW CAM,21,79,87,"Chelsea
2023 ~ 2030",257534,"189cm / 6'2""",74kg / 163lbs,Left,82,CAM,8,"Sep 1, 2023",N/A,€39.5M,€76K,€83M,343,70,80,48,82,63,378,81,77,66+2,71,83,377,72,77,78,80,70,342,75,62,75,58,72,347,57,43,80,82,85,84,144,47,52,45,51,7,6,10,14,14,1982,420,3,4,High,Medium,1,Lean (185+),Yes,75,77,77,81,48,62,,Technical,,1,
K. Havertz CAM CM ST,24,82,87,"Arsenal
2023 ~ 2028",235790,"193cm / 6'4""",82kg / 181lbs,Left,85,CAM,5,"Jun 28, 2023",N/A,€46M,€110K,€88.6M,404,74,83,83,84,80,385,84,84,53,79,85,382,75,81,75,83,68,385,76,84,77,70,78,347,56,43,84,81,83,84,133,45,47,41,47,6,8,11,10,12,2083,440,4,4,Medium,Medium,3,Unique,Yes,78,81,79,83,49,70,,Chip Shot Technical First Touch Trivela,,4,
K. Mainoo CDM CM,18,72,87,"Manchester United
2022 ~ 2027",269136,"184cm / 6'0""",80kg / 176lbs,Right,73,CAM,15,"May 16, 2022",N/A,€5M,€16K,€12.6M,308,54,60,64,78,52,331,79,63,41,74,74,379,77,72,78,68,84,334,67,76,69,68,54,317,70,64,63,69,51,75,205,70,72,63,49,14,11,10,5,9,1923,416,3,3,High,High,1,Lean (170-185),No,74,60,68,77,68,69,,Long Ball Pass Press Proven Trivela,,3,
A. Gray CM RB CDM,17,72,86,"Leeds United
2021 ~ 2028",270208,"187cm / 6'2""",70kg / 154lbs,Right,74,CM,14,"Dec 18, 2021",N/A,€5.5M,€4K,€13.9M,321,67,59,65,75,55,336,74,60,55,73,74,367,74,77,72,72,72,342,62,75,75,70,60,336,71,70,68,70,57,75,210,70,70,70,51,15,12,13,6,5,1963,422,4,2,High,High,1,Lean (185+),No,76,60,70,74,70,72,,Long Ball Pass,,1,
K. Mbappé ST LW,24,91,94,"Paris Saint Germain
2018 ~ 2024",231747,"182cm / 6'0""",75kg / 165lbs,Right,93,ST,3,"Jul 1, 2018",N/A,€181.5M,€230K,€349.4M,415,78,94,73,86,84,405,93,80,69,71,92,462,97,97,93,93,82,426,90,88,88,77,83,362,64,38,93,83,84,88,92,26,34,32,42,13,5,7,11,6,2204,473,4,5,High,Low,5,Unique,Yes,97,90,80,92,36,78,,Finesse Shot Rapid Flair Trivela Acrobatic,Quick Step +,6,
A. Güler CAM RM,18,77,88,"Real Madrid
2023 ~ 2029",264309,"175cm / 5'9""",70kg / 154lbs,Left,79,CAM,11,"Jul 6, 2023",N/A,€22M,€41K,€49.5M,340,80,68,41,81,70,403,83,84,76,79,81,380,75,69,82,69,85,308,72,50,70,43,73,316,42,55,68,80,71,77,155,52,57,46,58,13,10,11,14,10,1960,405,3,4,High,Medium,1,Lean (170-185),Yes,72,70,80,81,52,50,,Finesse Shot Incisive Pass Long Ball Pass Whipped Cross Technical Flair,,6,
L. Bergvall CM,17,66+1,86+1,"Djurgården
2023 ~ 2025",272926,"186cm / 6'1""",74kg / 163lbs,Right,69,CAM,20,"Feb 1, 2023",N/A,€2.3M,€500,€5.2M,283,63,53,51,67,49,333,73,65,58,65,72+2,333,74+5,68,64,63,64,296,51,67+7,65,65+8,48,299,56,54,64,72+2,53,71,158,46,58,54,52,7,13,13,10,9,1754,376,3,3,Medium,Medium,1,Normal (185+),No,71,52,66,71,53,63,,Incisive Pass Long Ball Pass Press Proven,,3,
J. Bellingham CAM CM,20,88,92,"Real Madrid
2023 ~ 2029",252371,"186cm / 6'1""",75kg / 165lbs,Right,90,CAM,4,"Jul 1, 2023",N/A,€128.5M,€230K,€273.1M,385,66,87,69,89,74,391,88,73,56,87,87,411,81,80,82,89,79,411,79,82+1,93,77+2,80,416,85,82,88,87,74+10,85,233,77,79,77,48,14,11,10,5,8,2295,492,4,4,High,High,4,Normal (185+),Yes,80,83,81,87,78,83,,Intercept Slide Tackle Technical Flair,Relentless +,5,
F. Wirtz CAM,20,87,92,"Bayer 04 Leverkusen
2020 ~ 2027",256630,"177cm / 5'10""",71kg / 157lbs,Right,89,CAM,5,"Jan 31, 2020",N/A,€118.5M,€77K,€210.3M,367,82,79,42,90,74,407,87,80,64,86,90,420,81,80,87,86,86,347,75,61,83,53,75,340,63,44,83,90,60,84,151,58,49,44,57,14,14,13,6,10,2089,443,4,4,High,Medium,3,Normal (170-185),Yes,80,76,86,88,50,63,,Chip Shot Incisive Pass Technical Flair First Touch Trivela,,6,
Vitor Roque ST RW LW,18,76,88,"FC Barcelona
2024 ~ 2031",276589,"172cm / 5'8""",78kg / 172lbs,Right,78,ST,12,"Jan 1, 2024",N/A,€17.5M,€44K,€39.4M,335,62,82,62,54,75,356,83,74,70,52,77,406,88,83,85,70,80,377,80,83,65,75,74,257,28,15,80,62,72,74,44,18,15,11,54,13,14,12,6,9,1829,387,3,4,Medium,High,1,Stocky (170-185),No,85,79,59,80,20,64,,Finesse Shot Power Shot Rapid Flair Quick Step,,5,
M. Olise RM RW CAM,21,80,88,"Crystal Palace
2021 ~ 2027",247827,"184cm / 6'0""",73kg / 161lbs,Left,82,CAM,8,"Jul 8, 2021",N/A,€47.5M,€37K,€99.8M,338,80,77,36,80,65,399,84,80,76,77,82,413,82,79,91,75,86,317,76,55,68,46,72,345,68,50,75,83,69,79,159,52,56,51,49,9,11,9,10,10,2020,426,2,4,Medium,Medium,1,Lean (170-185),Yes,80,75,80,84,51,56,,Finesse Shot Dead Ball Technical Flair Trivela,,5,
R. Højlund ST,20,78,89,"Manchester United
2023 ~ 2028",259399,"191cm / 6'3""",79kg / 174lbs,Left,80,ST,11,"Aug 5, 2023",N/A,€31M,€82K,€65.1M,326,38,78,70,72,68,306,76,58,48,49,75,378,82,86,69,78,63,405,83,88,78,86,70,325,82,28,80,65,70,75,79,32,28,19,50,12,8,9,14,7,1869,409,3,3,High,High,1,Normal (185+),Yes,84,77,58,74,33,83,,Rapid Flair Quick Step,,3,
L. Openda ST,23,84+1,87+1,"RB Leipzig
2023 ~ 2028",243580,"177cm / 5'10""",75kg / 165lbs,Right,86,ST,3,"Jul 14, 2023",N/A,€58.5M,€77K,€103.8M,386,69,87+2,79,75,76+3,341,83+2,66+2,50,59,83+2,438,94,93,82,84+1,85,410,83+1,93,79,80+1,75,330,74,26,86+1,69,75,81,71,29,23,19,48,9,8,10,8,13,2024,438,4,3,High,Medium,2,Normal (170-185),No,93,83,69,83,31,79,,Finesse Shot Rapid Quick Step Trivela,,4,
I. Maatsen LB,21,77+1,85+1,"Borussia Dortmund
Jun 30, 2024 On loan",248465,"178cm / 5'10""",63kg / 139lbs,Left,78,LWB,8,"Sep 25, 2018","Jun 30, 2024",€22.5M,€57K,€0,321,75+1,59+3,58,77+2,52+6,351,78+3,67,62,66+2,78+1,418,87,87,84,74,86,324,65,70,77,53,59,325,74,71+1,67+1,68+1,45,71+1,217,70+2,72,75+1,55,9,10,12,15,9,2011,431,4,3,High,Medium,1,Lean (170-185),No,87,60,72,78,70,64,,Slide Tackle Rapid,,2,
M. Tel ST LM RM,18,75,88,"FC Bayern München
2022 ~ 2029",268421,"183cm / 6'0""",77kg / 170lbs,Right,77,ST,13,"Jul 26, 2022",N/A,€13M,€20K,€29.6M,341,56,79,65,68,73,339,79,68,56,59,77,382,79,85,78,64,76,355,86,76,53,67,73,278,48,18,77,71,64,74,81,22,27,32,54,12,9,15,7,11,1830,389,4,4,High,Medium,1,Normal (170-185),Yes,82,78,64,77,28,60,,,,0,
Fresneda RWB RB,18,72,85,"Sporting CP
2023 ~ 2028",266253,"183cm / 6'0""",74kg / 163lbs,Right,72,RWB,13,"Aug 30, 2023",N/A,€5M,€2K,€13.1M,272,65,43,60,69,35,285,75,50,30,53,77,364,77,75,71,67,74,295,43,75,76,67,34,279,62,65,58,53,41,60,208,68,73,67,48,14,5,12,6,11,1751,388,3,3,Medium,Medium,2,Normal (170-185),Yes,76,41,60,74,68,69,,Jockey Block Technical First Touch,,4,
João Neves CM,18,77,88,"Benfica
2022 ~ 2028",272834,"174cm / 5'9""",66kg / 146lbs,Right,81,CDM,11,"Jul 1, 2022",N/A,€22M,€5K,€48.4M,324,63,53,62,80,66,354,76,67,53,79,79,392,78,75,79,82,78,359,71,75,90,68,55,364,81,79,72,76,56,81,226,77,77,72,46,8,7,5,13,13,2065,438,3,3,High,High,1,Normal (170-185),No,76,59,74,78,75,76,,Technical,,1,
J. Zirkzee ST,22,78,86,"Bologna
2022 ~ 2026",250961,"193cm / 6'4""",89kg / 196lbs,Right,81,CAM,8,"Aug 30, 2022",N/A,€32M,€34K,€60.8M,351,55,80,71,78,67,365,81,68,66,65,85,368,74,76,84,74,60,385,76,85,67,81,76,290,43,14,78,78,77,83,59,20,20,19,51,6,11,12,8,14,1869,398,3,4,Medium,Low,1,Normal (185+),Yes,75,78,70,81,24,70,,Technical Flair First Touch,,3,
Palhinha CDM,27,84,85,"Fulham
2022 ~ 2028",229391,"190cm / 6'3""",85kg / 187lbs,Right,86,CB,1,"Jul 4, 2022",N/A,€43M,€110K,€84.9M,339,60,66,79,79,55,349,77,66,45,80,81,331,63,67,64,80,57,412,81,86,88,90,67,376,95,83,69,72,57,84,259,84,88,87,46,14,10,8,7,7,2112,456,4,2,Medium,High,2,Lean (185+),Yes,65,68,72,76,85,90,,Long Ball Pass Slide Tackle,Bruiser +,3,
G. Rutter CAM ST,21,76,86,"Leeds United
2023 ~ 2028",245637,"182cm / 6'0""",77kg / 170lbs,Left,78,CAM,10,"Jan 17, 2023",N/A,€17M,€31K,€35.7M,347,65,70,69,75,68,335,81,60,45,70,79,388,77,80,77,74,80,379,75,83,72,80,69,267,35,18,74,76,64,74,135,45,45,45,50,6,10,14,10,10,1901,410,5,5,High,Medium,1,Normal (170-185),Yes,79,71,70,79,42,69,,Flair Trickster,,2,
Vini Jr. LW ST,22,89,94,"Real Madrid
2018 ~ 2027",238794,"176cm / 5'9""",73kg / 161lbs,Right,90,CAM,5,"Jul 12, 2018",N/A,€158.5M,€310K,€336.8M,373,79,89,50,82,73,400,92,79,62,77,90,454,95,95,94,86,84,380,77,74,84,65,80,325,58,26,87,83,71+2,83,75,32,25,18,36,5,7,7,7,10,2043,446,4,5,High,Medium,5,Lean (170-185),Yes,95,83,80,90,29,69,,Finesse Shot Chip Shot Rapid Flair First Touch Trivela,Quick Step +,7,
Alejandro Garnacho LM RM,19,77+1,87,"Manchester United
2021 ~ 2028",268438,"180cm / 5'11""",72kg / 159lbs,Right,78,RM,10,"Jul 28, 2021",N/A,€23M,€53K,€48.3M,334,72+2,75+3,44,73+1,70,348,79+1,75,61,56,77+2,423,88,84,87,76,88,330,78,60+1,76,47,69,309,66,40,77,70+1,56,72,98,32,37,29,55,6,15,14,13,7,1897,402,4,3,High,High,1,Lean (170-185),Yes,86,73,69,79,36,59,,Finesse Shot Technical Flair Quick Step,,4,
Nico Williams LM RM,20,82,88,"Athletic Club
2020 ~ 2027",256516,"181cm / 5'11""",67kg / 148lbs,Right,83,CAM,6,"Jul 1, 2020",N/A,€47.5M,€29K,€109.3M,359,77,75,65,78,64,380,88,76,72,59,85,443,94,93,92,80,84,370,78,79,81,60,72,313,55,40,76,80,62,78,89,36,28,25,60,9,13,12,12,14,2014,429,5,4,High,Medium,2,Lean (170-185),Yes,93,74,75,86,36,65,,Rapid Flair Quick Step Relentless Trivela,,5,
Moleiro LM CM CAM,19,77,87,"Las Palmas
2021 ~ 2026",264388,"172cm / 5'8""",67kg / 148lbs,Right,79,CAM,10,"Jul 1, 2021",N/A,€23M,€12K,€52.9M,315,62,65,57,78,53,353,82,65,52,74,80,408,86,81,88,70,83,339,70,74,67,60,68,322,60,48,74,81,59,71,155,47,55,53,45,6,9,11,8,11,1937,416,4,3,Medium,Medium,1,Normal (170-185),No,83,66,73,81,51,62,,Incisive Pass Technical First Touch,,3,
R. Lewis RB CDM,18,75,86,"Manchester City
2022 ~ 2028",271574,"169cm / 5'7""",70kg / 154lbs,Right,76,CM,11,"Jul 1, 2022",N/A,€11.5M,€23K,€23.6M,286,72,44,58,82,30,327,78+3,54,42,73,80,390,78,75,83+4,79+2,75,278,55,66,69,51,37,327,66,68,70,73+4,50,77+3,217,71,74,72,55,11,8,11,12,13,1880,403,3,3,High,Medium,1,Lean (170-),No,76,46,73,79,70,59,,Block,,1,
K. Kvaratskhelia LW RW,22,86,92,"Napoli
2022 ~ 2027",247635,"183cm / 6'0""",70kg / 154lbs,Right,87,CAM,6,"Jul 1, 2022",N/A,€109M,€95K,€207.1M,368,78,81,62,83,64,401,90,82,65,76,88,417,85,86,86,84,76,388,78,78,79,70,83,335,62,40,82,86,65,79,111,38,39,34,54,9,15,8,14,8,2074,445,5,5,Medium,Medium,2,Normal (170-185),Yes,86,79,81,87,41,71,,Finesse Shot Incisive Pass Whipped Cross Technical Flair Trivela,Trickster +,7,
M. Rashford LM LW ST,25,82-1,83-1,"Manchester United
2015 ~ 2028",231677,"186cm / 6'1""",70kg / 154lbs,Right,82,LM,1,"Nov 21, 2015",N/A,€36.5M,€130K,€72.1M,377,74,81,71,78,73,394,85,80,75,72,82,408,88,91,80,80,69,388,93,82,70,65,78,325,54,27,82-1,77,85,76,83,30,29,24,53,11,6,15,7,14,2028,429,3,5,Medium,Low,3,Unique,Yes,90,83,76,82,33,65,,Technical Flair Quick Step,Power Shot +,4,
Arnau Martínez RB CB RWB,20,80,86,"Girona
2020 ~ 2025",260815,"182cm / 6'0""",72kg / 159lbs,Right,80,RB,6,"Jul 1, 2020",N/A,€30.5M,€22K,€70.2M,318,80,50,74,79,35,326,75,68,40,66,77,380,82,78,75,79,66,327,56,82,78,66,45,319,67,76,61,65,50,65,228,73,78,77,43,10,7,7,10,9,1941,423,3,2,High,Medium,1,Lean (170-185),Yes,80,50,72,75,76,70,,Whipped Cross Jockey,,2,
A. Isak ST LW,23,83,87,"Newcastle United
2022 ~ 2028",233731,"192cm / 6'4""",77kg / 170lbs,Right,85,ST,4,"Aug 26, 2022",N/A,€52.5M,€130K,€103.7M,386,66,86,77,78,79,367,87,70,65,59,86,404,82,85,81,83+1,73,400,82,88,78+3,76,76,343,58,38,85+1,79,83,85+1,98,35,34,29,40,7,6,9,7,11,2038,437,5,4,High,Medium,2,Lean (185+),Yes,84,83,72,85,39,74,,Rapid Flair Quick Step Trivela,,4,
Cristiano Ronaldo ST,38,86,86,"Al Nassr
2023 ~ 2025",20801,"187cm / 6'2""",85kg / 187lbs,Right,86,ST,0,"Jan 1, 2023",N/A,€23M,€66K,€36.8M,414,78,87,87,79,83,388,77,79,76,70,86,377,73,80,76,87,61,426,92,93,80,76,85,349,62,29,90,78,90,92,80,24,32,24,58,7,11,15,14,11,2092,431,4,5,High,Low,5,Unique,Yes,77,88,77,80,34,75,,Power Header Flair Trickster Trivela Acrobatic Aerial,Power Shot +,7,
M. Ødegaard CM,24,88+1,90,"Arsenal
2021 ~ 2028",222665,"178cm / 5'10""",68kg / 150lbs,Left,89,CAM,2,"Aug 20, 2021",N/A,€118M,€200K,€227.2M,393,86,83,55,90,79,435,88+1,84,85,88,90+1,402,74,71,85,89+2,83,376,82,66,88+3,56,84,374,64,68+1,83,91+1,68,87,194,68,69+7,57,62,14,15,15,8,10,2236,463,2,5,High,Medium,4,Lean (170-185),Yes,72,82,89,88,66,66,,Incisive Pass Whipped Cross Technical Flair First Touch Trivela,Pinged Pass +,7,
M. O'Riley CM CAM CDM,22,78,86,"Celtic
2022 ~ 2027",240734,"188cm / 6'2""",77kg / 170lbs,Left,80,CM,8,"Jan 20, 2022",N/A,€31.5M,€48K,€63M,357,74,77,53,79,74,375,76,75,69,77,78,365,67,69,70,77,82,383,80,69,85,74,75,369,68,69,79,81,72,80,197,65,70,62,50,14,12,5,13,6,2096,440,4,4,High,Medium,1,Normal (185+),Yes,68,77,77,77,66,75,,Finesse Shot Incisive Pass Slide Tackle Technical First Touch,,5,
G. Scalvini CB,19,77,87,"Atalanta
2021 ~ 2027",265188,"194cm / 6'4""",75kg / 165lbs,Right,79,CB,10,"Jul 9, 2021",N/A,€21M,€22K,€39.9M,242,38,23,72,70,39,247,56,35,22,64,70,302,63,64,49,77,49,317,57,78,68,75,39,283,80,79,28,61,35,72,236,77,80,79,45,6,12,12,9,6,1672,369,3,2,Medium,High,1,Normal (185+),No,64,35,57,61,78,74,,Intercept Bruiser,,2,
D. Szoboszlai CAM CM,22,81-1,86-1,"Liverpool
2023 ~ 2028",236772,"186cm / 6'1""",74kg / 163lbs,Right,83,CAM,5,"Jul 2, 2023",N/A,€39.5M,€100K,€76M,390,85,77,60,83,85,420,81-2,90,87,81,81-2,392,78,87,79-1,80,68,399,89,74,82,67,87,361,63,57,79,83-1,79,79-3,173,58,61,54,49,10,10,13,10,6,2184,458,4,4,High,High,2,Normal (185+),Yes,83,82,84,80,59,70,,Power Shot Whipped Cross Technical Flair Trivela,Dead Ball +,6,
Y. Moukoko ST,18,77,87,"Borussia Dortmund
2020 ~ 2026",240833,"179cm / 5'10""",72kg / 159lbs,Left,79,ST,10,"Nov 20, 2020",N/A,€22.5M,€18K,€42.8M,343,47,79,69,71,77,318,79,68,42,48,81,409,82,79,85,77,86,360,78,79,68,68,67,281,52,32,78,59,60,75,86,30,31,25,60,13,13,11,10,13,1857,393,4,4,Medium,Low,2,Unique,Yes,80,75,59,80,34,65,,Finesse Shot Technical Flair First Touch Trivela Acrobatic,,6,
K. Adeyemi LM ST,21,80,87,"Borussia Dortmund
2022 ~ 2027",251852,"180cm / 5'11""",77kg / 170lbs,Left,81,LM,7,"Jul 1, 2022",N/A,€43M,€38K,€81.7M,366,72,79,70,74,71,358,82,67,62,67,80,438,96,96,87,78,81,383,76,90,76,67,74,309,59,31,77,72,70,76,94,25,34,35,50,12,12,7,12,7,1998,427,4,4,High,High,2,Lean (170-185),Yes,96,76,71,81,34,69,,Chip Shot Rapid Flair Acrobatic Aerial,Quick Step +,6,
R. Lavia CDM CM,19,73,86,"Chelsea
2023 ~ 2030",263620,"181cm / 5'11""",76kg / 168lbs,Right,74,CDM,13,"Aug 18, 2023",N/A,€7M,€32K,€17.7M,272,50,42,60,78,42,333,76,65,50,67,75,359,72,68,73,70,76,339,63,76,70,75,55,311,72,72,50,65,52,77,218,73,73,72,43,7,7,5,11,13,1875,405,3,3,Medium,High,1,Normal (170-185),Yes,70,50,66,75,71,73,,,,0,
E. Camavinga CM CDM LB,20,83,90,"Real Madrid
2021 ~ 2029",248243,"182cm / 6'0""",68kg / 150lbs,Left,86,CM,7,"Sep 1, 2021",N/A,€71.5M,€135K,€160.9M,350,77,64,64,86,59,385,84,72,59,84,86,401,78,79,82,82,80,389,73,81,84,81,70,379,79,82,73,83,62,84,239,76,82,81,50,12,6,8,12,12,2193,470,3,4,High,High,3,Lean (170-185),Yes,79,67,81,84,78,81,,Jockey Block Bruiser Technical Flair,,5,
